id,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
1,41,Yes,Rarely,1102.0,Sales,1,Basic Education,Life Sciences,Dissatisfied,Female,94.0,Satisfied,Junior,Sales Executive,Delighted,Single,5993.0,8,Yes,11,Satisfied,Not Satisfied at all,Unvested,8,0,Not Satisfied at all,6,4,0,5
2,49,No,Frequently,279.0,Research & Development,8,No Formal Education,Life Sciences,Satisfied,Male,61.0,Dissatisfied,Junior,Research Scientist,Dissatisfied,Married,5130.0,1,No,23,Delighted,Delighted,Basic,10,3,Satisfied,10,7,1,7
4,37,Yes,Rarely,1373.0,Research & Development,2,Basic Education,Other,Delighted,Male,92.0,Dissatisfied,Entry Level,Laboratory Technician,Satisfied,Single,2090.0,6,Yes,15,Satisfied,Dissatisfied,Unvested,7,3,Satisfied,0,0,0,0
5,33,No,Frequently,1392.0,Research & Development,3,Bachelor's Degree,Life Sciences,Delighted,Female,56.0,Satisfied,Entry Level,Research Scientist,Satisfied,Married,2909.0,1,Yes,11,Satisfied,Satisfied,Unvested,8,3,Satisfied,8,7,3,0
7,27,No,Rarely,591.0,Research & Development,2,No Formal Education,Medical,Not Satisfied at all,Male,40.0,Satisfied,Entry Level,Laboratory Technician,Dissatisfied,Married,3468.0,9,No,12,Satisfied,Delighted,Basic,6,3,Satisfied,2,2,2,2
8,32,No,Frequently,1005.0,Research & Development,2,Basic Education,Life Sciences,Delighted,Male,79.0,Satisfied,Entry Level,Laboratory Technician,Delighted,Single,3068.0,0,No,13,Satisfied,Satisfied,Unvested,8,2,Dissatisfied,7,7,3,6
10,59,No,Rarely,1324.0,Research & Development,3,Associate Degree,Medical,Satisfied,Female,81.0,Delighted,Entry Level,Laboratory Technician,Not Satisfied at all,Married,2670.0,4,No,20,Delighted,Not Satisfied at all,Executive,12,3,Dissatisfied,1,0,0,1
11,30,No,Rarely,1358.0,Research & Development,24,No Formal Education,Life Sciences,Delighted,Male,67.0,Satisfied,Entry Level,Laboratory Technician,Satisfied,Divorced,2693.0,1,No,22,Delighted,Dissatisfied,Basic,1,2,Satisfied,1,0,0,0
12,38,No,Frequently,216.0,Research & Development,23,Associate Degree,Life Sciences,Delighted,Male,44.0,Dissatisfied,Senior,Manufacturing Director,Satisfied,Single,9526.0,0,No,21,Delighted,Dissatisfied,Unvested,10,2,Satisfied,9,7,1,8
13,36,No,Rarely,1299.0,Research & Development,27,Associate Degree,Unknown,Satisfied,Male,94.0,Satisfied,Junior,Healthcare Representative,Satisfied,Married,5237.0,6,No,13,Satisfied,Dissatisfied,Intermediate,17,3,Dissatisfied,7,7,7,6
14,35,No,Rarely,809.0,Research & Development,16,Associate Degree,Medical,Not Satisfied at all,Male,84.0,Delighted,Entry Level,Laboratory Technician,Unknown,Married,2426.0,0,No,13,Satisfied,Satisfied,Basic,6,5,Satisfied,5,4,0,3
15,29,No,Rarely,153.0,Research & Development,15,Basic Education,Life Sciences,Delighted,Female,49.0,Dissatisfied,Junior,Laboratory Technician,Satisfied,Unknown,4193.0,0,Yes,12,Satisfied,Delighted,Unvested,10,3,Satisfied,9,5,0,4
16,31,No,Rarely,670.0,Research & Development,26,No Formal Education,Life Sciences,Not Satisfied at all,Male,31.0,Satisfied,Entry Level,Research Scientist,Satisfied,Divorced,2911.0,1,No,17,Satisfied,Delighted,Basic,5,1,Dissatisfied,5,2,4,3
18,34,No,Rarely,1346.0,Research & Development,19,Basic Education,Medical,Dissatisfied,Male,93.0,Satisfied,Entry Level,Laboratory Technician,Delighted,Divorced,2661.0,0,No,11,Satisfied,Satisfied,Basic,3,2,Satisfied,2,2,1,2
19,28,Yes,Rarely,103.0,Research & Development,24,Associate Degree,Life Sciences,Satisfied,Male,50.0,Dissatisfied,Entry Level,Laboratory Technician,Satisfied,Single,2028.0,5,Yes,14,Satisfied,Dissatisfied,Unvested,6,4,Satisfied,4,2,0,3
20,29,No,Rarely,1389.0,Research & Development,21,Bachelor's Degree,Life Sciences,Dissatisfied,Female,51.0,Delighted,Senior,Manufacturing Director,Not Satisfied at all,Divorced,9980.0,1,No,11,Satisfied,Satisfied,Basic,10,3,Satisfied,10,9,8,8
21,32,No,Rarely,334.0,Research & Development,5,Basic Education,Life Sciences,Not Satisfied at all,Male,80.0,Delighted,Entry Level,Research Scientist,Dissatisfied,Divorced,3298.0,0,Yes,12,Satisfied,Delighted,Intermediate,7,5,Dissatisfied,6,2,0,5
22,22,No,Non,1123.0,Research & Development,16,Basic Education,Medical,Delighted,Male,96.0,Delighted,Entry Level,Laboratory Technician,Delighted,Divorced,2935.0,1,Yes,13,Satisfied,Dissatisfied,Intermediate,1,2,Dissatisfied,1,0,0,0
